adm2_pcode,adm2_name,adm3_pcode,adm3_name,center_lat,center_lon,area_sqkm
TG0205,Doufelgou,TG020507,Kpaha,9.918094,1.14090286,100.75308972
TG0410,Akebou,TG041005,Kpalave,7.832448,0.83936848,95.06504915
TG0105,Tchaoudjo,TG010507,Kpangalam,9.0958355,1.03940413,284.18731645
TG0105,Tchaoudjo,TG010508,Kparatao,8.9493685,1.24270111,142.0433809
TG0105,Tchaoudjo,TG010509,Kpassouade,9.039479,1.31353781,80.89558582
TG0401,Amou,TG040109,Kpategan,7.360128,1.04705527,179.36748937
TG0406,Haho,TG040605,Kpedome,7.071503,1.11320004,598.09111608
TG0406,Haho,TG040606,Kpegnon/Haito,7.187081,0.9940611,161.64913097
TG0408,Moyen-Mono,TG040803,Kpekpleme,7.3007125,1.58717434,97.80843708
TG0407,Kpele,TG040706,Kpele-Centre,7.180428,0.84874027,114.70026183
TG0407,Kpele,TG040707,Kpele-Dawlotou,7.0136365,0.84043889,246.24444989
TG0407,Kpele,TG040708,Kpele-Dutoe,7.261518,0.8966666,29.65514203
TG0407,Kpele,TG040709,Kpele-Nord,7.2898355,0.869168,95.46570991
TG0518,Naki-Ouest,TG051801,Kpendjaga / Papri,10.9937475,0.42424631,47.89149136
TG0405,Est-Mono,TG040505,Kpessi,8.1172915,1.30250948,242.47174788
TG0402,Wawa,TG040206,Kpete Bena,7.438855,0.57934915,123.87617207
TG0302,Bas-Mono,TG030205,Kpetsou,6.5403915,1.58603307,35.1716949
TG0412,Kloto,TG041207,Kpime,7.008336,0.63285968,70.57952725
TG0308,Zio,TG030813,Kpome,6.339109,1.34204796,82.50004376
TG0104,Tchamba,TG010408,Kri-Kri,9.2061325,1.45717845,137.52206254
TG0207,Kozah,TG020706,Lama,9.591018,1.19489025,71.01199063
TG0203,Binah,TG020304,Lama-Dessi,9.7297905,1.26170989,39.88286514
TG0105,Tchaoudjo,TG010510,Lama-Tessi,8.870509,1.08031773,469.86990034
TG0207,Kozah,TG020707,Landa,9.6679565,1.27208708,31.89149616
TG0207,Kozah,TG020708,Landa-Pozenda/Kpinzinde,9.494204,1.28570414,146.50040617
TG0101,Blitta,TG010110,Langabou,8.1394155,1.16451933,225.58189205
TG0104,Tchamba,TG010409,Larni,9.086152,1.42174337,75.47808576
TG0207,Kozah,TG020709,Lassa,9.608007,1.23401773,67.0008606
TG0412,Kloto,TG041208,Lavie/ Apedome,7.032039,0.65056944,83.51006711
TG0309,Agoe-Nyive,TG030903,Legbassito,6.266788,1.14797176,24.03144563
TG0205,Doufelgou,TG020508,Leon,9.6860495,0.93049003,78.5804129
TG0514,Oti,TG051404,Loko,10.5111295,0.22895824,78.9787881
TG0515,Tandjoare,TG051507,Loko,10.595282,0.25195911,33.12940845
TG0515,Tandjoare,TG051508,Lokpano,10.594893,0.11913572,71.6258994
