region_nom_bdd,prefecture_nom_bdd,canton_nom_bdd,nb_agences,nb_agents_mobile_money,lon,lat,sans_agence_operateur,rang_desserte_mm,zone_prioritaire,dist_km_agence_plus_proche,dist_km_agent_mm_plus_proche,population_totale,population_masculin,population_feminin,population_method,adm2_name_hdx,adm3_name_hdx,adm3_pcode_hdx,area_sqkm_hdx,densite_pop_par_km2,agences_pour_10k_hab,agents_mm_pour_10k_hab
Kara,Dankpen,Natchitikpi,0.0,7,0.7436459372320051,9.688877105958715,True,85.0,True,14.81,0.5,7844,3750,4094,exact,Dankpen,Natchitikpi,TG020411,127.07827984,61.7,0.0,8.92
Kara,Dankpen,Nawaré,0.0,5,0.6311436666666667,9.610367666666667,True,56.0,True,8.9,0.39,18253,8976,9277,exact,Dankpen,Naware,TG020412,234.14623215,78.0,0.0,2.74
Kara,Doufelgou,Agbandè-Yaka,0.0,4,1.1036262552046134,9.74069901029497,True,43.0,True,2.82,0.19,8915,4299,4616,exact,Doufelgou,Agbandi-Yaka,TG020501,97.05857567,91.9,0.0,4.49
Kara,Doufelgou,Alloum,0.0,15,0.9231444445049773,9.739431462694446,True,185.0,False,20.46,0.17,10239,4968,5271,exact,Doufelgou,Aloum,TG020502,164.71835904,62.2,0.0,14.65
Kara,Doufelgou,Baga,0.0,11,1.1017570081459989,9.794307623262721,True,146.0,False,3.26,0.33,5905,2873,3032,exact,Doufelgou,Baga,TG020503,44.35382615,133.1,0.0,18.63
Kara,Doufelgou,Défalé,0.0,27,1.091320725164319,9.86936117316388,True,263.0,False,10.38,0.04,6938,3282,3656,exact,Doufelgou,Defale,TG020504,68.40373176,101.4,0.0,38.92
Kara,Doufelgou,Kadjalla,0.0,15,0.9446608888888889,9.804010555555555,True,185.0,False,18.39,1.71,9835,4762,5073,exact,Doufelgou,Kadjalla,TG020505,100.9149605,97.5,0.0,15.25
Kara,Doufelgou,Koka,0.0,6,1.1578492431551117,9.781429695509813,True,71.0,True,5.74,1.55,3433,1711,1722,exact,Doufelgou,Koka,TG020506,19.74790731,173.8,0.0,17.48
Kara,Doufelgou,Kpaha,0.0,3,1.1222418648571686,9.881848016168137,True,32.0,True,11.02,0.13,3692,1812,1880,exact,Doufelgou,Kpaha,TG020507,100.75308972,36.6,0.0,8.13
Kara,Doufelgou,Léon,0.0,7,0.930321855085644,9.692839023501522,True,85.0,True,21.08,0.17,4206,2017,2189,exact,Doufelgou,Leon,TG020508,78.5804129,53.5,0.0,16.64
