FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,operateur,geometry
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-505b,Kara,Kéran,Kéran 1,Kantè,"Moov, Togocom",POINT (1.0503533333333333 9.959068333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-505a,Kara,Kozah,Kozah 1,Commune De Kara,"Moov, Togocom",POINT (1.1902228651162787 9.54690656788913)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5059,Maritime,Lacs,Lacs 3,Agbodrafo,Moov,POINT (1.500299730228376 6.209552922708675)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5058,Kara,Kéran,Kéran 1,Kantè,"Moov, Togocom",POINT (1.0502633333333333 9.959225)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5057,Kara,Kozah,Kozah 1,Commune De Kara,Togocom,POINT (1.21489 9.559406666666666)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5056,Kara,Kéran,Kéran 1,Kantè,"Moov, Togocom",POINT (1.0501483333333332 9.958924999999999)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5055,Maritime,Lacs,Lacs 3,Gbodjomé,"Moov, Togocom",POINT (1.3889749999999998 6.191208333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5054,Kara,Kéran,Kéran 1,Kantè,Togocom,POINT (1.0494283333333334 9.959171666666666)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5053,Kara,Kéran,Kéran 1,Kantè,Togocom,POINT (1.049385 9.959145000000001)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5052,Kara,Kéran,Kéran 1,Kantè,"Moov, Togocom",POINT (1.0487966666666668 9.959216666666666)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5051,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Nsp,POINT (1.2072772618128154 6.256266765289999)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5050,Kara,Kozah,Kozah 1,Commune De Kara,Togocom,POINT (1.1912842470015308 9.546087255235216)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-504f,Kara,Kéran,Kéran 1,Akpontè,"Moov, Togocom",POINT (0.911095 10.232008333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-504e,Kara,Kozah,Kozah 1,Landa,Togocom,POINT (1.2274443710195466 9.687825942224187)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-504d,Kara,Kozah,Kozah 1,Commune De Kara,"Moov, Togocom",POINT (1.20252 9.559113333333332)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-504c,Kara,Kozah,Kozah 1,Commune De Kara,Togocom,POINT (1.2169033333333334 9.557441666666668)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-504b,Kara,Kéran,Kéran 1,Kantè,Nsp,POINT (1.04908 9.958205)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-504a,Maritime,Lacs,Lacs 3,Agbodrafo,"Moov, Togocom",POINT (1.5043069035282324 6.225144148817216)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5049,Kara,Kéran,Kéran 1,Kantè,Nsp,POINT (1.0490066666666666 9.95875)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5048,Kara,Kozah,Kozah 1,Commune De Kara,Togocom,POINT (1.1919366666666666 9.546033333333332)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5047,Kara,Kéran,Kéran 1,Kantè,"Moov, Togocom",POINT (1.0468633333333335 9.956565000000001)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5046,Kara,Kozah,Kozah 1,Commune De Kara,"Moov, Togocom",POINT (1.211785 9.559750000000001)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5045,Kara,Kozah,Kozah 1,Commune De Kara,Togocom,POINT (1.1664283333333332 9.545353333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5044,Kara,Kéran,Kéran 1,Kantè,"Moov, Togocom",POINT (1.0466183333333334 9.956214999999998)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5043,Maritime,Lacs,Lacs 3,Gbodjomé,"Moov, Togocom",POINT (1.3911054314257993 6.189398123399504)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5042,Kara,Kéran,Kéran 1,Kantè,Nsp,POINT (1.04676 9.955615)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5041,Kara,Kéran,Kéran 1,Kantè,Nsp,POINT (1.046435 9.955985)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5040,Kara,Kozah,Kozah 1,Commune De Kara,"Moov, Togocom",POINT (1.1920368253711737 9.545863805969415)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-503f,Maritime,Lacs,Lacs 3,Agbodrafo,"Moov, Togocom",POINT (1.5290736975469112 6.227057319899931)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-503e,Kara,Kéran,Kéran 1,Kantè,Togocom,POINT (1.0465629 9.9557857)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-503d,Maritime,Lacs,Lacs 3,Gbodjomé,"Moov, Togocom",POINT (1.3912602876171989 6.189810981116376)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-503c,Kara,Kozah,Kozah 1,Commune De Kara,Togocom,POINT (1.2047916666666665 9.557086666666667)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-503b,Kara,Kéran,Kéran 1,Kantè,"Moov, Togocom",POINT (1.0494116666666666 9.96035)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-503a,Maritime,Lacs,Lacs 3,Agbodrafo,"Moov, Togocom",POINT (1.5309400000000002 6.221108333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5039,Kara,Kéran,Kéran 1,Kantè,Nsp,POINT (1.0450633333333335 9.956366666666666)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5038,Maritime,Lacs,Lacs 3,Agbodrafo,Moov,POINT (1.5308368817858347 6.219588856439836)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5037,Maritime,Lacs,Lacs 3,Agbodrafo,Moov,POINT (1.530934826847677 6.218603293469895)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5036,Kara,Kozah,Kozah 1,Commune De Kara,Togocom,POINT (1.1715016666666667 9.583368333333334)
