FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,activite_statut,activite_categorie,toilette_type,geometry
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f62,Maritime,Golfe,Golfe 1,Bè-Est,Port,Agence Togocom Propre Port,"Agence Togocom Propre Port, Port, BP333","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp ,{Utilise},Agence Togocom,"{WCs,Douches}",POINT (1.2760933333333333 6.14345)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f61,Maritime,Golfe,Golfe 1,Bè-Est,Mono,Agence Togocom Mono,"Agence Togocom Mono, Mono","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp ,{Utilise},Agence Togocom,"{WCs,Douches}",POINT (1.2617222599457436 6.136723976258841)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f60,Maritime,Golfe,Golfe 1,Bè-Est,Akodessewa,Agence Moov Akodessewa,"Agence Moov Akodessewa, Akodessewa","{Lundi,Mardi,Mercredi,Vendredi,jeudi,Samedi}",Nsp,{Utilise},Agence Moov,Nsp,POINT (1.2537440894895422 6.149535176503007)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f5f,Maritime,Zio,Zio 1,Abobo,Gatokope ,Agence Togocom Store Djagble,"Agence Togocom Store Djagble, Gatokope ",Néant,Nsp ,Nsp,Agence Togocom,Nsp,POINT (1.2854432486294676 6.265293428880892)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f5e,Kara,Kozah,Kozah 1,Commune De Kara,Dongoyo,Agence Togocom Dongoyo,"Agence Togocom Dongoyo, Dongoyo","{Mardi,Lundi,Mercredi,jeudi,Vendredi}",1998,{Utilise},Agence Togocom,Nsp,POINT (1.186815 9.549365)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f5d,Maritime,Golfe,Golfe 5,Aflao-Gakli,Adjidogome,Agence Moov Adidogome,"Agence Moov Adidogome, Adjidogome, BP14511 Lomé ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2018,{Utilise},Agence Moov,"{WCs,Douches}",POINT (1.1666133333333333 6.185315000000001)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f5c,Maritime,Golfe,Golfe 1,Bè-Est,Privilège ,Agence Moov Privilège,"Agence Moov Privilège, Privilège ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Moov,Nsp,POINT (1.2407955937059894 6.152183407357222)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f5b,Maritime,Zio,Zio 1,Tsévié,Daviemondji,Moov Store Tsevie,"Moov Store Tsevie, Daviemondji","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2020,{Utilise},Agence Moov,{WCs},POINT (1.2091516666666666 6.410936666666667)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f5a,Kara,Bassar,Bassar 1,Bassar,Bassar,Agence Togocom Bassar,"Agence Togocom Bassar, Bassar","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",1998,{Utilise},Agence Togocom,{Latrines seches},POINT (0.78035 9.25998)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f59,Maritime,Golfe,Golfe 2,Bè-Centre,Aeroport Lome,Agence Moov Aeroport Lome,"Agence Moov Aeroport Lome, Aeroport Lome","{Lundi,Mardi,Mercredi,jeudi,Samedi,Dimanche,Vendredi}",2017,{Utilise},Agence Moov,Nsp,POINT (1.2530180124498576 6.170390811463834)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f58,Kara,Kéran,Kéran 1,Kantè,Yotouw,Franchise Togocom Kante,"Franchise Togocom Kante, Yotouw","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2013,{Utilise},Agence Togocom,{Latrines seches},POINT (1.0493400000000002 9.959168333333334)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f57,Kara,Kéran,Kéran 1,Kantè,Mandouta,Agence Togocom Kante,"Agence Togocom Kante, Mandouta","{Samedi,Vendredi,jeudi,Mercredi,Mardi,Lundi}",Nsp,{Utilise},Agence Togocom,"{Latrines a eau,Douches}",POINT (1.0550416666666667 9.955556666666666)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f56,Kara,Assoli,Assoli 1,Bafilo,Zogo,Agence Togocom Bafilo,"Agence Togocom Bafilo, Zogo","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2012,{Utilise},Agence Togocom,"{WCs,Douches}",POINT (1.243980329013687 9.35412840013568)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f55,Kara,Dankpen,Dankpen 1,Guérin-Kouka,Guerin Kouka Centre,Agence Togocom Guérin Kouka,"Agence Togocom Guérin Kouka, Guerin Kouka Centre","{Lundi,Mardi,Samedi,Vendredi,jeudi,Mercredi}",2012,{Utilise},Agence Togocom,{Douches},POINT (0.6085550000000001 9.687276666666666)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f54,Maritime,Zio,Zio 1,Tsévié,Tsevie,Agence Togocom Tsevie,"Agence Togocom Tsevie, Tsevie","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2020,{Utilise},Agence Togocom,{WCs},POINT (1.2079766666666667 6.408834999999999)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f53,Kara,Kozah,Kozah 1,Commune De Kara,Batassoukome,Agence Moov Kara,"Agence Moov Kara, Batassoukome","{Mardi,Lundi,Mercredi,jeudi,Vendredi,Samedi}",2007,{Utilise},Agence Moov,"{WCs,Douches}",POINT (1.1884416666666666 9.546851666666667)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f52,Kara,Bassar,Bassar 1,Bassar,Bassar,Agence Moov Bassar,"Agence Moov Bassar, Bassar","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Moov,{Latrines a eau},POINT (0.781485 9.262368333333335)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f51,Kara,Bassar,Bassar 3,Kabou,Kabou Marche,Agence Togocom Kabou Marche,"Agence Togocom Kabou Marche, Kabou Marche","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2019,{Utilise},Agence Togocom,"{Latrines a eau,Douches}",POINT (0.8122702048081362 9.452944931014047)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f50,Maritime,Avé,Avé 1,Kévé,Quartier Latin,Agence Togocom Quartier Latin,"Agence Togocom Quartier Latin, Quartier Latin","{Vendredi,Mardi,Lundi,jeudi,Mercredi}",2018,{Utilise},Agence Togocom,{Latrines a eau},POINT (0.9252233333333333 6.43472)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f4f,Kara,Doufelgou,Doufelgou 1,Niamtougou,Niamtougou,Agence Togocom Niamtougou,"Agence Togocom Niamtougou, Niamtougou, BP220 Lomé","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Dimanche}",2019,{Utilise},Agence Togocom,"{Douches,WCs}",POINT (1.1079416666666666 9.765661666666666)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f4e,Maritime,Avé,Avé 1,Assahoun,Kpetoume,Franchise Togocom Kpetoume,"Franchise Togocom Kpetoume, Kpetoume","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2018,{Utilise},Agence Togocom,{WCs},POINT (0.914285339800625 6.449476733858452)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f4d,Maritime,Yoto,Yoto 1,Tabligbo,Tabligbo,Agence Togocom Tabligbo,"Agence Togocom Tabligbo, Tabligbo","{jeudi,Lundi,Mardi,Mercredi,Samedi,Vendredi}",2010,{Ferme},Agence Togocom,{WCs},POINT (1.5003568420170923 6.588522752291423)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f4c,Maritime,Zio,Zio 1,Djagblé,Djagble Centre,Moov Store Djagble Centre,"Moov Store Djagble Centre, Djagble Centre","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2020,{Utilise},Agence Moov,{WCs},POINT (1.282715644370347 6.253717219782764)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f4b,Maritime,Zio,Zio 3,Agbélouvé,Agbelouve Ville ,Franchise Togocom Agbelouve Ville ,"Franchise Togocom Agbelouve Ville , Agbelouve Ville ","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",Nsp,{Utilise},Agence Togocom,Nsp,POINT (1.1668566666666667 6.675084999999999)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f4a,Maritime,Avé,Avé 1,Assahoun,Kpetoume ,Agence Moov Kpetoume ,"Agence Moov Kpetoume , Kpetoume ","{Lundi,Mardi,jeudi,Mercredi,Vendredi,Samedi}",Nsp ,{Utilise},Agence Moov,{WCs},POINT (0.9153915164331609 6.448079479499792)
_mview_agences_etablissements_agences.fid-1905e7b9_1a087e03512_-6f49,Maritime,Bas-Mono,Bas-Mono 1,Afagnangan,Awassi Onorio,Agence Togocom Awassi Onorio,"Agence Togocom Awassi Onorio, Awassi Onorio","{Lundi,Mardi,Mercredi,jeudi,Samedi,Vendredi}",Nsp ,{Utilise},Agence Togocom,Nsp,POINT (1.6287033333333332 6.49556)
