prefecture_pdf,canton_pdf,masculin,feminin,population_totale,adm2_name,adm3_name,adm3_pcode,center_lat,center_lon,area_sqkm,method
Agou,ADZAKPA,3638,3798,7436,Agou,Adzakpa,TG040302,6.614559,0.76185626,165.87885505,exact_pref
Agou,AGOTIME NORD,4032,4300,8332,Agou,Agotime Nord,TG040303,6.707528,0.68694882,213.62232711,exact_pref
Kloto,AGOME KPALIME,42058,45420,87478,Kloto,Agome,TG041201,6.935945,0.61289236,32.44912228,fuzzy
Kloto,YOKELE,1607,1641,3248,Kloto,Yokele,TG041212,6.937951,0.68000734,38.33505891,exact_pref
Kloto,TOVE,2792,2870,5662,Kloto,Tove,TG041210,6.871419,0.65531955,37.52211023,exact_pref
Kloto,TOME,1695,1592,3287,Kloto,Tome,TG041209,6.817672,0.65443538,29.52867054,exact_pref
Kloto,GBALAVE,1172,1132,2304,Kloto,Gbalave,TG041203,6.867997,0.59558739,20.35007374,exact_pref
Kloto,HANYIGBA,2202,2253,4455,Kloto,Hanyigba,TG041204,6.898516,0.60118267,34.24041928,exact_pref
Kloto,KPADAPE_WOME,5839,6114,11953,Kloto,Kpadape,TG041206,6.8009835,0.59968711,65.80110344,fuzzy
Kloto,KPIME,3676,3549,7225,Kloto,Kpime,TG041207,7.008336,0.63285968,70.57952725,exact_pref
Kloto,LAVIE /LAVIE APEDOME,4378,4563,8941,Kloto,Lavie/ Apedome,TG041208,7.032039,0.65056944,83.51006711,fuzzy
Kloto,KOUMA,3391,3424,6815,Kloto,Kouma,TG041205,6.98502,0.57993732,59.88871052,exact_pref
Kloto,AGOME,903,882,1785,Kloto,Agome,TG041201,6.935945,0.61289236,32.44912228,exact_pref
Kloto,AGOME-TOMEGBE,1448,1385,2833,Kloto,Agome-Tomegbe,TG041202,6.942733,0.54629601,26.77647324,exact_pref
Kpélé,KPELE-NOVIVE,14794,15193,29987,Kpele,Kpele-Centre,TG040706,7.180428,0.84874027,114.70026183,manual
Kpélé,AKATA,3826,3829,7655,Kpele,Akata,TG040702,7.045233,0.71976625,89.15192598,exact_pref
Kpélé,KPELE-GOVIE,2205,2424,4629,Kpele,Govie,TG040704,7.1548805,0.74436355,43.74019724,fuzzy
Kpélé,KPELE-DAWLOTOU,5540,5464,11004,Kpele,Kpele-Dawlotou,TG040707,7.0136365,0.84043889,246.24444989,exact_pref
Kpélé,KPELE-CENTRE/GOUDEVE,3610,3652,7262,Kpele,Kpele-Centre,TG040706,7.180428,0.84874027,114.70026183,fuzzy
Kpélé,KPELE-GBALADZE,1645,1680,3325,Kpele,Gbaladze,TG040703,7.212238,0.76220256,32.94298358,fuzzy
Kpélé,KPELE-KAME,2975,2991,5966,Kpele,Kame,TG040705,7.229914,0.85264315,75.58346203,fuzzy
Kpélé,KPELE-DUTOE,1775,1798,3573,Kpele,Kpele-Dutoe,TG040708,7.261518,0.8966666,29.65514203,exact_pref
Kpélé,KPELE-NORD,3759,3779,7538,Kpele,Kpele-Nord,TG040709,7.2898355,0.869168,95.46570991,exact_pref
Wawa,BADOU,10155,9989,20144,Wawa,Badou,TG040201,7.5633725,0.57635075,99.67972411,exact_pref
Wawa,KESSIBO,5322,5168,10490,Wawa,Kessibo,TG040204,7.640493,0.61540835,107.66663866,exact_pref
Wawa,TOMEGBE,4497,4287,8784,Wawa,Tomegbe,TG040209,7.5197915,0.59807356,93.8977092,exact_pref
Wawa,KPETE BENA,5970,5799,11769,Wawa,Kpete Bena,TG040206,7.438855,0.57934915,123.87617207,exact_pref
Wawa,EKETO_GBANDI- N'KOUGNA_GOBE,10442,9972,20414,Wawa,Gobe/Eketo/Gbadi N'Kugna,TG040203,7.454922,0.75501099,368.03074071,manual
Wawa,OKOU,2417,2348,4765,Wawa,Okou,TG040207,7.5675905,0.84132725,125.30312074,exact_pref
Wawa,OUNABE,1753,1724,3477,Wawa,Ounabe,TG040208,7.558954,0.94560234,70.56120823,exact_pref
Wawa,DOUME,2367,2275,4642,Wawa,Doume,TG040202,7.5563435,0.77746771,58.39055864,exact_pref
Wawa,ZOGBEGAN,5457,5455,10912,,,,,,,unmatched
Wawa,KLABE EFOUKPA,3003,2900,5903,Wawa,Klabe Efoukpa,TG040205,7.6021335,0.73730889,196.44389187,exact_pref
Akébou,KOUGNOHOU,6853,6865,13718,Akebou,Kougnohou,TG041004,7.6911035,0.81062451,96.48751882,exact_pref
Akébou,VHE,2627,2688,5315,Akebou,Veh,TG041007,7.67406,0.70900105,33.91341298,manual
Akébou,DJON,6857,6705,13562,Akebou,Djon,TG041001,7.7387945,0.80549589,187.394431,exact_pref
Akébou,GBENDE,3112,2959,6071,Akebou,Gbende,TG041002,7.76183,0.68044707,110.44042057,exact_pref
Akébou,YALLA,2790,2740,5530,Akebou,Yalla,TG041008,7.8277485,0.66327169,95.23830434,exact_pref
Akébou,KAMINA,7442,7190,14632,Akebou,Kamina,TG041003,7.93551,0.91509588,358.08055235,exact_pref
Akébou,KPALAVE,3442,3547,6989,Akebou,Kpalave,TG041005,7.832448,0.83936848,95.06504915,exact_pref
Akébou,SEREGBENE,4113,3900,8013,Akebou,Seregbene,TG041006,7.8709585,0.71439312,169.28518936,exact_pref
Amou,OUMA-AMLAME,6844,6938,13782,Amou,Ouma-Amlame,TG040112,7.460545,0.91994578,109.41960507,exact_pref
Amou,IMLE,2449,2357,4806,Amou,Imle,TG040108,7.4623525,0.99325036,95.7897072,exact_pref
Amou,ADIVA,562,596,1158,Amou,Adiva,TG040101,7.498801,1.01820885,10.53327579,exact_pref
Amou,AMOU-OBLO,9916,10007,19923,Amou,Amou-Oblo,TG040102,7.3613215,0.8649412,150.74019863,exact_pref
Amou,SODO,2032,1888,3920,Amou,Sodo,TG040113,7.328194,0.82648517,33.46323742,exact_pref
Amou,EKPEGNON,3035,3063,6098,Amou,Ekpegnon,TG040104,7.307489,0.97933512,142.15177543,exact_pref
Amou,KPATEGAN,5037,5038,10075,Amou,Kpategan,TG040109,7.360128,1.04705527,179.36748937,exact_pref
Amou,HIHEATRO,11290,12040,23330,Amou,Hiheatro,TG040107,7.581222,1.04808401,221.32544293,exact_pref
